,,,,,,,,,,,
Color por Función lexica,IMAGENES,AUDIO,piezas PUZZLE,imagen PUZZLE,Nivel dificultad CASTELLANO,Cartellano,Sílabas CASTELANO,Nivel dificultad CATALAN,Catalan,Sílabas CATALAN,PAQUET
#29a3da,,rojo_fpl,,,2,rojas,ro-jas,3,vermelles,ver-me-lles,
#29a3da,azul_01 azul_02 azul_03,azul,,,2,azul,a-zul,2,blau,blau,x color
#29a3da,amarillo_01 amarillo_02 amarillo_03,amarillo,,,3,amarillo,a-ma-ri-llo,2,groc,groc,x color
#29a3da,rojo_01 rojo_02 rojo_03,rojo,,,2,rojo,ro-jo,3,vermell,ver-mell,x color
#b6d060,contento_01 contento_02 contento_03,contento,4 6 9,2,2,contento,con-ten-to,2,content,con-tent,x
#b6d060,contento_f_01 contento_f_02 contento_f_03,contento_f,4 6 9,2,,contenta,con-ten-ta,,contenta,con-ten-ta,x
#29a3da,asustado_f_01 asustado_f_02,asustado_f,4 6 9,1,3,asustada,a-sus-ta-da,3,espantada,es-pan-ta-da,x
#29a3da,asustado_01 asustado_02 asustado_03,asustado,4 6,2,3,asustado,a-sus-ta-do,3,espantat,es-pan-tat,x
#29a3da,verde_01 verde_02 verde_03,verde,,,2,verde,ver-de,2,verd,verd,x color
#b6d060,triste_01 triste_02 triste_03,triste,1 2,1,3,triste,tris-te,2,trist,trist,x
